Date1,State,beds_icu_covid,icu_covid,icu_usage,vent_covid,vent,vent_usage,Date,Total Cases
3-Jun,Sabah,85,77,90.59,21,111,18.92,03-Jun,204
3-Jun,Sarawak,106,102,96.23,38,140,27.14,03-Jun,594
3-Jun,Selangor,244,288,118.03,102,275,37.09,03-Jun,3127
3-Jun,Terengganu,26,19,73.08,14,41,34.15,03-Jun,127
3-Jun,W.P. Kuala Lumpur,119,129,108.4,77,143,53.85,03-Jun,807
3-Jun,W.P. Labuan,11,12,109.09,8,14,57.14,03-Jun,62
3-Jun,W.P. Putrajaya,8,7,87.5,3,28,10.71,03-Jun,33
4-Jun,Johor,114,139,121.93,95,134,70.9,04-Jun,447
4-Jun,Kedah,73,63,86.3,43,105,40.95,04-Jun,263
4-Jun,Kelantan,56,39,69.64,23,124,18.55,04-Jun,286
4-Jun,Melaka,70,73,104.29,13,59,22.03,04-Jun,234
4-Jun,Negeri Sembilan,44,79,179.55,46,56,82.14,04-Jun,709
4-Jun,Pahang,53,31,58.49,14,65,21.54,04-Jun,146
4-Jun,Perak,67,56,83.58,42,98,42.86,04-Jun,371
4-Jun,Perlis,8,8,100,5,16,31.25,04-Jun,8
4-Jun,Pulau Pinang,43,38,88.37,21,35,60,04-Jun,376
4-Jun,Sabah,85,83,97.65,25,111,22.52,04-Jun,287
4-Jun,Sarawak,106,105,99.06,37,140,26.43,04-Jun,706
4-Jun,Selangor,244,272,111.48,160,275,58.18,04-Jun,2612
4-Jun,Terengganu,26,20,76.92,13,41,31.71,04-Jun,203
4-Jun,W.P. Kuala Lumpur,119,127,106.72,82,143,57.34,04-Jun,852
4-Jun,W.P. Labuan,11,14,127.27,9,14,64.29,04-Jun,230
4-Jun,W.P. Putrajaya,8,7,87.5,4,28,14.29,04-Jun,20
5-Jun,Johor,114,142,124.56,89,134,66.42,05-Jun,412
5-Jun,Kedah,73,67,91.78,46,105,43.81,05-Jun,263
5-Jun,Kelantan,56,35,62.5,18,124,14.52,05-Jun,312
5-Jun,Melaka,70,58,82.86,14,59,23.73,05-Jun,206
5-Jun,Negeri Sembilan,44,84,190.91,45,56,80.36,05-Jun,843
5-Jun,Pahang,53,28,52.83,15,65,23.08,05-Jun,286
5-Jun,Perak,67,55,82.09,39,98,39.8,05-Jun,253
5-Jun,Perlis,8,8,100,5,16,31.25,05-Jun,4
5-Jun,Pulau Pinang,43,34,79.07,23,35,65.71,05-Jun,370
5-Jun,Sabah,85,88,103.53,24,111,21.62,05-Jun,259
5-Jun,Sarawak,106,105,99.06,34,140,24.29,05-Jun,651
5-Jun,Selangor,250,279,111.6,176,275,64,05-Jun,2511
5-Jun,Terengganu,26,25,96.15,17,41,41.46,05-Jun,190
5-Jun,W.P. Kuala Lumpur,119,125,105.04,81,143,56.64,05-Jun,683
5-Jun,W.P. Labuan,11,15,136.36,9,14,64.29,05-Jun,205
5-Jun,W.P. Putrajaya,8,7,87.5,5,28,17.86,05-Jun,12
6-Jun,Johor,114,142,124.56,89,134,66.42,06-Jun,566
6-Jun,Kedah,73,71,97.26,38,105,36.19,06-Jun,125
6-Jun,Kelantan,56,37,66.07,21,124,16.94,06-Jun,270
6-Jun,Melaka,70,69,98.57,14,59,23.73,06-Jun,225
6-Jun,Negeri Sembilan,59,86,145.76,51,52,98.08,06-Jun,556
6-Jun,Pahang,53,28,52.83,14,65,21.54,06-Jun,155
6-Jun,Perak,67,59,88.06,40,98,40.82,06-Jun,174
6-Jun,Perlis,8,6,75,5,16,31.25,06-Jun,2
6-Jun,Pulau Pinang,43,37,86.05,24,33,72.73,06-Jun,271
6-Jun,Sabah,85,98,115.29,29,111,26.13,06-Jun,305
6-Jun,Sarawak,106,104,98.11,35,140,25,06-Jun,601
6-Jun,Selangor,250,288,115.2,170,275,61.82,06-Jun,2188
6-Jun,Terengganu,26,19,73.08,6,41,14.63,06-Jun,158
6-Jun,W.P. Kuala Lumpur,119,122,102.52,82,143,57.34,06-Jun,416
6-Jun,W.P. Labuan,11,15,136.36,9,14,64.29,06-Jun,213
6-Jun,W.P. Putrajaya,8,7,87.5,5,28,17.86,06-Jun,30
7-Jun,Johor,114,145,127.19,99,134,73.88,07-Jun,355
7-Jun,Kedah,73,69,94.52,36,105,34.29,07-Jun,194
7-Jun,Kelantan,56,42,75,21,124,16.94,07-Jun,341
7-Jun,Melaka,70,62,88.57,14,59,23.73,07-Jun,178
7-Jun,Negeri Sembilan,59,79,133.9,51,52,98.08,07-Jun,571
7-Jun,Pahang,53,29,54.72,16,65,24.62,07-Jun,99
7-Jun,Perak,67,50,74.63,34,98,34.69,07-Jun,177
7-Jun,Perlis,8,7,87.5,6,16,37.5,07-Jun,1
