Week,State,Average Cases1,Average Cases,Tests Conducted,Test_Kit
1 Jul – 7 Jul,Perak,178.2857143,178,2071,PCR
1 Jul – 7 Jul,Perak,178.2857143,178,3590,Both
12 Aug – 18 Aug,Perak,554.5714286,555,5305,RTK-AG
12 Aug – 18 Aug,Perak,554.5714286,555,3517,PCR
12 Aug – 18 Aug,Perak,554.5714286,555,8822,Both
15 Jul – 21 Jul,Perak,258.1428571,258,2204,RTK-AG
15 Jul – 21 Jul,Perak,258.1428571,258,2468,PCR
15 Jul – 21 Jul,Perak,258.1428571,258,4672,Both
19 Aug – 25 Aug,Perak,499.8571429,500,5067,RTK-AG
19 Aug – 25 Aug,Perak,499.8571429,500,3241,PCR
19 Aug – 25 Aug,Perak,499.8571429,500,8308,Both
22 Jul – 28 Jul,Perak,372.8571429,373,3117,RTK-AG
22 Jul – 28 Jul,Perak,372.8571429,373,2814,PCR
22 Jul – 28 Jul,Perak,372.8571429,373,5931,Both
26 Aug – 31 Aug,Perak,678.4285714,678,3225,RTK-AG
26 Aug – 31 Aug,Perak,678.4285714,678,2586,PCR
26 Aug – 31 Aug,Perak,678.4285714,678,5811,Both
29 Jul – 4 Aug,Perak,460.8571429,461,3788,RTK-AG
29 Jul – 4 Aug,Perak,460.8571429,461,3833,PCR
29 Jul – 4 Aug,Perak,460.8571429,461,7621,Both
5 Aug – 11 Aug,Perak,472.2857143,472,3591,RTK-AG
5 Aug – 11 Aug,Perak,472.2857143,472,3044,PCR
5 Aug – 11 Aug,Perak,472.2857143,472,6635,Both
8 Jul – 14 Jul,Perak,260,260,1691,RTK-AG
8 Jul – 14 Jul,Perak,260,260,2153,PCR
8 Jul – 14 Jul,Perak,260,260,3844,Both
1 Jul – 7 Jul,Perlis,661.2857143,6,84,RTK-AG
1 Jul – 7 Jul,Perlis,661.2857143,6,25,PCR
1 Jul – 7 Jul,Perlis,661.2857143,6,109,Both
12 Aug – 18 Aug,Perlis,1.714285714,2,309,RTK-AG
12 Aug – 18 Aug,Perlis,1.714285714,2,136,PCR
12 Aug – 18 Aug,Perlis,1.714285714,2,445,Both
15 Jul – 21 Jul,Perlis,3.142857143,3,74,RTK-AG
15 Jul – 21 Jul,Perlis,3.142857143,3,35,PCR
15 Jul – 21 Jul,Perlis,3.142857143,3,109,Both
19 Aug – 25 Aug,Perlis,3.428571429,3,212,RTK-AG
19 Aug – 25 Aug,Perlis,3.428571429,3,149,PCR
19 Aug – 25 Aug,Perlis,3.428571429,3,361,Both
22 Jul – 28 Jul,Perlis,1.714285714,2,142,RTK-AG
22 Jul – 28 Jul,Perlis,1.714285714,2,37,PCR
22 Jul – 28 Jul,Perlis,1.714285714,2,180,Both
26 Aug – 31 Aug,Perlis,5.285714286,5,161,RTK-AG
26 Aug – 31 Aug,Perlis,5.285714286,5,138,PCR
26 Aug – 31 Aug,Perlis,5.285714286,5,299,Both
29 Jul – 4 Aug,Perlis,2.142857143,2,148,RTK-AG
29 Jul – 4 Aug,Perlis,2.142857143,2,125,PCR
29 Jul – 4 Aug,Perlis,2.142857143,2,273,Both
5 Aug – 11 Aug,Perlis,1,1,232,RTK-AG
5 Aug – 11 Aug,Perlis,1,1,71,PCR
5 Aug – 11 Aug,Perlis,1,1,303,Both
8 Jul – 14 Jul,Perlis,3.285714286,3,89,RTK-AG
8 Jul – 14 Jul,Perlis,3.285714286,3,33,PCR
8 Jul – 14 Jul,Perlis,3.285714286,3,122,Both
1 Jul – 7 Jul,Putrajaya,75.57142857,76,158,RTK-AG
1 Jul – 7 Jul,Putrajaya,75.57142857,76,286,PCR
1 Jul – 7 Jul,Putrajaya,75.57142857,76,444,Both
12 Aug – 18 Aug,Putrajaya,4.285714286,4,170,RTK-AG
12 Aug – 18 Aug,Putrajaya,4.285714286,4,311,PCR
12 Aug – 18 Aug,Putrajaya,4.285714286,4,481,Both
15 Jul – 21 Jul,Putrajaya,24.57142857,25,168,RTK-AG
15 Jul – 21 Jul,Putrajaya,24.57142857,25,432,PCR
15 Jul – 21 Jul,Putrajaya,24.57142857,25,600,Both
19 Aug – 25 Aug,Putrajaya,4.857142857,5,159,RTK-AG
19 Aug – 25 Aug,Putrajaya,4.857142857,5,172,PCR
19 Aug – 25 Aug,Putrajaya,4.857142857,5,331,Both
22 Jul – 28 Jul,Putrajaya,9.571428571,10,239,RTK-AG
22 Jul – 28 Jul,Putrajaya,9.571428571,10,528,PCR
22 Jul – 28 Jul,Putrajaya,9.571428571,10,767,Both
26 Aug – 31 Aug,Putrajaya,12.42857143,12,120,RTK-AG
26 Aug – 31 Aug,Putrajaya,12.42857143,12,191,PCR
26 Aug – 31 Aug,Putrajaya,12.42857143,12,311,Both
29 Jul – 4 Aug,Putrajaya,6.571428571,7,198,RTK-AG
29 Jul – 4 Aug,Putrajaya,6.571428571,7,460,PCR
29 Jul – 4 Aug,Putrajaya,6.571428571,7,658,Both
5 Aug – 11 Aug,Putrajaya,4.571428571,5,165,RTK-AG
5 Aug – 11 Aug,Putrajaya,4.571428571,5,263,PCR
5 Aug – 11 Aug,Putrajaya,4.571428571,5,428,Both
8 Jul – 14 Jul,Putrajaya,40.85714286,41,1053,RTK-AG
8 Jul – 14 Jul,Putrajaya,40.85714286,41,406,PCR
8 Jul – 14 Jul,Putrajaya,40.85714286,41,1459,Both
1 Jul – 7 Jul,Sabah,249.1428571,249,2829,RTK-AG
1 Jul – 7 Jul,Sabah,249.1428571,249,3317,PCR
1 Jul – 7 Jul,Sabah,249.1428571,249,6146,Both
12 Aug – 18 Aug,Sabah,1909.571429,1910,7326,RTK-AG
12 Aug – 18 Aug,Sabah,1909.571429,1910,7121,PCR
12 Aug – 18 Aug,Sabah,1909.571429,1910,14447,Both
15 Jul – 21 Jul,Sabah,541.5714286,542,3256,RTK-AG
15 Jul – 21 Jul,Sabah,541.5714286,542,3964,PCR
15 Jul – 21 Jul,Sabah,541.5714286,542,7220,Both
19 Aug – 25 Aug,Sabah,2812.142857,2812,6562,RTK-AG
19 Aug – 25 Aug,Sabah,2812.142857,2812,6639,PCR
19 Aug – 25 Aug,Sabah,2812.142857,2812,13201,Both
22 Jul – 28 Jul,Sabah,702.4285714,702,4156,RTK-AG
22 Jul – 28 Jul,Sabah,702.4285714,702,4172,PCR
22 Jul – 28 Jul,Sabah,702.4285714,702,8328,Both
26 Aug – 31 Aug,Sabah,2502.428571,2502,5230,RTK-AG
26 Aug – 31 Aug,Sabah,2502.428571,2502,4124,PCR
26 Aug – 31 Aug,Sabah,2502.428571,2502,9354,Both
29 Jul – 4 Aug,Sabah,1000.571429,1001,5399,RTK-AG
29 Jul – 4 Aug,Sabah,1000.571429,1001,6040,PCR
29 Jul – 4 Aug,Sabah,1000.571429,1001,11439,Both
5 Aug – 11 Aug,Sabah,1304.428571,1304,5749,RTK-AG
5 Aug – 11 Aug,Sabah,1304.428571,1304,5739,PCR
5 Aug – 11 Aug,Sabah,1304.428571,1304,11488,Both
8 Jul – 14 Jul,Sabah,278.2857143,278,3077,RTK-AG
8 Jul – 14 Jul,Sabah,278.2857143,278,3781,PCR
8 Jul – 14 Jul,Sabah,278.2857143,278,6858,Both
1 Jul – 7 Jul,Sarawak,649.8571429,650,1715,RTK-AG
1 Jul – 7 Jul,Sarawak,649.8571429,650,5509,PCR
1 Jul – 7 Jul,Sarawak,649.8571429,650,7224,Both
12 Aug – 18 Aug,Sarawak,1858.285714,1858,2272,RTK-AG
12 Aug – 18 Aug,Sarawak,1858.285714,1858,9134,PCR
12 Aug – 18 Aug,Sarawak,1858.285714,1858,11406,Both
15 Jul – 21 Jul,Sarawak,1711.857143,1712,1454,RTK-AG
15 Jul – 21 Jul,Sarawak,1711.857143,1712,6689,PCR
15 Jul – 21 Jul,Sarawak,1711.857143,1712,8143,Both
19 Aug – 25 Aug,Sarawak,2024.142857,2024,3361,RTK-AG
19 Aug – 25 Aug,Sarawak,2024.142857,2024,11976,PCR
19 Aug – 25 Aug,Sarawak,2024.142857,2024,15337,Both
22 Jul – 28 Jul,Sarawak,2168.428571,2168,1641,RTK-AG
22 Jul – 28 Jul,Sarawak,2168.428571,2168,6589,PCR
22 Jul – 28 Jul,Sarawak,2168.428571,2168,8230,Both
26 Aug – 31 Aug,Sarawak,2696.285714,2696,3889,RTK-AG
26 Aug – 31 Aug,Sarawak,2696.285714,2696,9742,PCR
26 Aug – 31 Aug,Sarawak,2696.285714,2696,13631,Both
29 Jul – 4 Aug,Sarawak,2372.857143,2373,1644,RTK-AG
29 Jul – 4 Aug,Sarawak,2372.857143,2373,6341,PCR
29 Jul – 4 Aug,Sarawak,2372.857143,2373,7985,Both
5 Aug – 11 Aug,Sarawak,1853.714286,1854,2098,RTK-AG
5 Aug – 11 Aug,Sarawak,1853.714286,1854,8368,PCR
5 Aug – 11 Aug,Sarawak,1853.714286,1854,10466,Both
8 Jul – 14 Jul,Sarawak,951.4285714,951,1402,RTK-AG
8 Jul – 14 Jul,Sarawak,951.4285714,951,5801,PCR
8 Jul – 14 Jul,Sarawak,951.4285714,951,7203,Both
1 Jul – 7 Jul,Selangor,4032.714286,4033,11952,RTK-AG
1 Jul – 7 Jul,Selangor,4032.714286,4033,15644,PCR
1 Jul – 7 Jul,Selangor,4032.714286,4033,27596,Both
12 Aug – 18 Aug,Selangor,6211.142857,4211,23975,RTK-AG
12 Aug – 18 Aug,Selangor,6211.142857,4211,17390,PCR
12 Aug – 18 Aug,Selangor,6211.142857,4211,41365,Both
15 Jul – 21 Jul,Selangor,6740.428571,4740,27969,RTK-AG
15 Jul – 21 Jul,Selangor,6740.428571,4740,18537,PCR
15 Jul – 21 Jul,Selangor,6740.428571,4740,46506,Both
19 Aug – 25 Aug,Selangor,5402.857143,5403,22354,RTK-AG
19 Aug – 25 Aug,Selangor,5402.857143,5403,14435,PCR
19 Aug – 25 Aug,Selangor,5402.857143,5403,36789,Both
22 Jul – 28 Jul,Selangor,6552.571429,5553,31710,RTK-AG
22 Jul – 28 Jul,Selangor,6552.571429,5553,18822,PCR
22 Jul – 28 Jul,Selangor,6552.571429,5553,50532,Both
26 Aug – 31 Aug,Selangor,781.7142857,4781,15465,RTK-AG
26 Aug – 31 Aug,Selangor,781.7142857,4781,9955,PCR
26 Aug – 31 Aug,Selangor,781.7142857,4781,25420,Both
29 Jul – 4 Aug,Selangor,7283.428571,5283,28123,RTK-AG
29 Jul – 4 Aug,Selangor,7283.428571,5283,16228,PCR
29 Jul – 4 Aug,Selangor,7283.428571,5283,44351,Both
5 Aug – 11 Aug,Selangor,6806.142857,4806,26252,RTK-AG
5 Aug – 11 Aug,Selangor,6806.142857,4806,15192,PCR
5 Aug – 11 Aug,Selangor,6806.142857,4806,41444,Both
8 Jul – 14 Jul,Selangor,5175.857143,5176,25598,RTK-AG
8 Jul – 14 Jul,Selangor,5175.857143,5176,17912,PCR
